0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:20:54 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:20:55 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:20:55 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:20:55 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:20:55 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:20:55 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:20:56 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:22:09 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 200 2316
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:22:10 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:23:53 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:23:55 +0900] "GET /WebProject/day1021/ex5_testxml.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:23:55 +0900] "GET /WebProject/day1021/ex5_testjson.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:24:57 +0900] "GET /WebProject/day1021/sawonxml.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:48:51 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:48:53 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:48:57 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:07 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 200 2606
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:07 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:08 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:08 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:09 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:09 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:09 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:09 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:09 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:10 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:10 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:10 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:10 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:10 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:11 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:11 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:38 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:38 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:38 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:38 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:39 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:39 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:39 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:49:39 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:25 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:26 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:27 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:28 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:29 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:30 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:31 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 200 2705
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:31 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:32 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:32 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:33 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:33 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:33 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:34 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:34 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:53:35 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
